Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,4033,115,502,3416,255,2.85,12.45,22.91,38928341,104.0,8676,4360,50.25
Albania,856,31,627,198,6,3.62,73.25,4.94,2877800,297.0,969,107,11.04
Algeria,5558,494,2546,2518,189,8.89,45.81,19.4,43851043,127.0,7728,1269,16.42
Andorra,754,48,545,161,2,6.37,72.28,8.81,77265,9759.0,762,1,0.13
Angola,43,2,13,28,0,4.65,30.23,15.38,32866268,1.0,58,16,27.59
Antigua and Barbuda,25,3,19,3,0,12.0,76.0,15.79,97928,255.0,25,0,0.0
Argentina,5776,300,1728,3748,165,5.19,29.92,17.36,45195777,128.0,9931,4771,48.04
Armenia,3175,44,1267,1864,146,1.39,39.91,3.47,2963234,1071.0,5606,2610,46.56
Australia,6939,97,6141,701,21,1.4,88.5,1.58,50919400,136.0,7095,70,0.99
Austria,15833,615,13928,1290,59,3.88,87.97,4.42,9006400,1758.0,16404,224,1.37
Azerbaijan,2422,31,1620,771,143,1.28,66.89,1.91,10139175,239.0,3749,1010,26.94
Bahamas,92,11,37,44,0,11.96,40.22,29.73,393248,234.0,97,4,4.12
Bahrain,4774,8,2055,2711,330,0.17,43.05,0.39,1701583,2806.0,8174,1878,22.98
Bangladesh,13770,214,2414,11142,636,1.55,17.53,8.86,164689383,84.0,28511,11810,41.42
Barbados,84,7,57,20,1,8.33,67.86,12.28,287371,292.0,90,2,2.22
Belarus,22052,126,6050,15876,951,0.57,27.44,2.08,9449321,2334.0,33371,6487,19.44
Belgium,52596,8581,13411,30604,585,16.31,25.5,63.98,11589616,4538.0,56235,1614,2.87
Belize,18,2,16,0,0,11.11,88.89,12.5,397621,45.0,18,0,0.0
Benin,284,2,62,220,42,0.7,21.83,3.23,12123198,23.0,135,75,55.56
Bhutan,7,0,5,2,0,0.0,71.43,0.0,771612,9.0,21,10,47.62
Bolivia,2437,114,258,2065,171,4.68,10.59,44.19,11673029,209.0,5187,3200,61.69
Bosnia and Herzegovina,2090,102,1059,929,20,4.88,50.67,9.63,3280815,637.0,2350,112,4.77
Botswana,23,1,12,10,0,4.35,52.17,8.33,2351625,10.0,29,6,20.69
Brazil,156061,10656,61685,83720,9167,6.83,39.53,17.27,422706534,369.0,310087,128151,41.33
Brunei,141,1,132,8,0,0.71,93.62,0.76,437483,322.0,141,0,0.0
Bulgaria,1921,90,422,1409,49,4.69,21.97,21.33,6948445,276.0,2331,146,6.26
Burkina Faso,748,48,569,131,4,6.42,76.07,8.44,20903278,36.0,812,35,4.31
Burma,178,6,68,104,1,3.37,38.2,8.82,54409800,3.0,199,7,3.52
Burundi,15,1,7,7,0,6.67,46.67,14.29,11890781,1.0,42,0,0.0
Cabo Verde,236,2,56,178,6,0.85,23.73,3.57,555988,424.0,356,34,9.55
Cambodia,122,0,120,2,0,0.0,98.36,0.0,16718971,7.0,123,1,0.81
Cameroon,2274,108,1232,934,7,4.75,54.18,8.77,26545864,86.0,4288,1148,26.77
Canada,68918,4823,31262,32833,1244,7.0,45.36,15.43,75711404,910.0,82742,7234,8.74
Central African Republic,143,0,10,133,0,0.0,6.99,0.0,4829764,30.0,436,319,73.17
Chad,322,31,53,238,62,9.63,16.46,58.49,16425859,20.0,588,138,23.47
Chile,27219,304,12667,14248,1247,1.12,46.54,2.4,36690212,742.0,57581,29362,50.99
China,83990,4637,79127,226,14,5.52,94.21,5.86,-2147483648,-39.0,84063,43,0.05
Colombia,10495,445,2569,7481,444,4.24,24.48,17.32,99141018,106.0,18330,5811,31.7
Comoros,11,1,0,10,3,9.09,0.0,inf,869595,13.0,34,53,155.88
Congo (Brazzaville),274,10,33,231,0,3.65,12.04,30.3,89561403,3.0,469,102,21.75
Congo (Kinshasa),937,39,130,768,0,4.16,13.87,30.0,5518087,170.0,1835,825,44.96
Costa Rica,780,6,480,294,7,0.77,61.54,1.25,5094114,153.0,903,97,10.74
Cote d'Ivoire,1667,21,769,877,65,1.26,46.13,2.73,26378274,63.0,2301,340,14.78
Croatia,2176,87,1726,363,15,4.0,79.32,5.04,4105268,530.0,2237,8,0.36
Cuba,1754,74,1140,540,13,4.22,64.99,6.49,11326616,155.0,1908,75,3.93
Cyprus,892,15,401,476,1,1.68,44.96,3.74,1207361,739.0,923,18,1.95
Czechia,8095,276,4447,3372,18,3.41,54.94,6.21,10708981,756.0,8754,386,4.41
Denmark,10517,526,8291,1700,101,5.0,78.83,6.34,5897840,1783.0,11380,332,2.92
Diamond Princess,712,13,645,54,0,1.83,90.59,2.02,0,inf,712,0,0.0
Djibouti,1189,3,834,352,54,0.25,70.14,0.36,988002,1203.0,2047,867,42.35
